
> validation@1.0.0 preprocess-segments D:\sparrow\validation
> node ./src/scripts/preprocess-segments.js

s2 	 0.37 	 s2 	 0.37
s1 	 0.9 	 s1 	 0.8799999999999999
s2 	 1.2 	 s2 	 1.2
s1 	 1.72 	 s1 	 1.69
s2 	 2.02 	 s2 	 2.01
s1 	 2.53 	 s1 	 2.4899999999999998
s2 	 2.83 	 s2 	 2.8099999999999996
s1 	 3.32 	 s1 	 3.3
s2 	 3.61 	 s2 	 3.5999999999999996
s1 	 4.11 	 s1 	 4.1
s2 	 4.43 	 s2 	 4.3999999999999995
s1 	 4.93 	 s1 	 4.91
s2 	 5.23 	 s2 	 5.22
s1 	 5.79 	 s1 	 5.77
s2 	 6.09 	 s2 	 6.08
s1 	 6.63 	 s1 	 6.62
s2 	 6.93 	 s2 	 6.92
s1 	 7.46 	 s1 	 7.45
s2 	 7.77 	 s2 	 7.76
s1 	 8.34 	 s1 	 8.3
s2 	 8.64 	 s2 	 8.63
s1 	 9.22 	 s1 	 9.190000000000001
s2 	 9.53 	 s2 	 9.510000000000002
s1 	 10.07 	 s1 	 10.05
s2 	 10.35 	 s2 	 10.360000000000001
s1 	 10.91 	 s1 	 10.89
s2 	 11.23 	 s2 	 11.21
s1 	 11.78 	 s1 	 11.760000000000002
s2 	 12.09 	 s2 	 12.08
s1 	 12.65 	 s1 	 12.64
s2 	 12.96 	 s2 	 12.950000000000001
s1 	 13.49 	 s1 	 13.49
s2 	 13.81 	 s2 	 13.8
s1 	 14.36 	 s1 	 14.350000000000001
s2 	 14.67 	 s2 	 14.67
s1 	 15.24 	 s1 	 15.23
s2 	 15.56 	 s2 	 15.55
s1 	 16.09 	 s1 	 16.09
s2 	 16.4 	 s2 	 16.400000000000002
s1 	 16.91 	 s1 	 16.91
s2 	 17.21 	 s2 	 17.21
s1 	 17.71 	 s1 	 17.7
s2 	 18.03 	 s2 	 18.02
s1 	 18.55 	 s1 	 18.53
s2 	 18.86 	 s2 	 18.86
s1 	 19.45 	 s1 	 19.45
s2 	 19.76 	 s2 	 19.76
s1 	 20.36 	 s1 	 20.34
s2 	 20.66 	 s2 	 20.66
s1 	 0.11 	 s1 	 0.11
s2 	 0.41 	 s2 	 0.37
s1 	 1.04 	 s1 	 0.99
s2 	 1.33 	 s2 	 1.29
s1 	 1.94 	 s1 	 1.9000000000000001
s2 	 2.24 	 s2 	 2.1999999999999997
s1 	 2.84 	 s1 	 2.81
s2 	 3.15 	 s2 	 3.1199999999999997
s1 	 3.75 	 s1 	 3.7199999999999998
s2 	 4.06 	 s2 	 4.04
s1 	 4.68 	 s1 	 4.640000000000001
s2 	 4.98 	 s2 	 4.95
s1 	 5.58 	 s1 	 5.54
s2 	 5.89 	 s2 	 5.86
s1 	 6.5 	 s1 	 6.46
s2 	 6.81 	 s2 	 6.78
s1 	 7.43 	 s1 	 7.38
s2 	 7.71 	 s2 	 7.7
s1 	 8.34 	 s1 	 8.299999999999999
s2 	 8.64 	 s2 	 8.61
s1 	 9.25 	 s1 	 9.209999999999999
s2 	 9.56 	 s2 	 9.52
s1 	 10.16 	 s1 	 10.11
s2 	 10.45 	 s2 	 10.43
s1 	 11.08 	 s1 	 11.04
s2 	 11.38 	 s2 	 11.35
s1 	 11.97 	 s1 	 11.94
s2 	 12.28 	 s2 	 12.26
s1 	 12.9 	 s1 	 12.86
s2 	 13.2 	 s2 	 13.17
s1 	 13.81 	 s1 	 13.76
s2 	 14.12 	 s2 	 14.08
s1 	 14.73 	 s1 	 14.69
s2 	 15.03 	 s2 	 15
s1 	 15.63 	 s1 	 15.59
s2 	 15.93 	 s2 	 15.91
s1 	 16.57 	 s1 	 16.5
s2 	 16.86 	 s2 	 16.82
s1 	 17.47 	 s1 	 17.439999999999998
s2 	 17.78 	 s2 	 17.74
s1 	 18.35 	 s1 	 18.33
s2 	 18.65 	 s2 	 18.64
s1 	 19.29 	 s1 	 19.25
s2 	 19.61 	 s2 	 19.55
s1 	 20.21 	 s1 	 20.16
s2 	 20.51 	 s2 	 20.48
s1 	 0.37 	 s1 	 0.37
s2 	 0.66 	 s2 	 0.6599999999999999
s1 	 0.85 	 s1 	 0.8600000000000001
s2 	 1.13 	 s2 	 1.1300000000000001
s1 	 1.49 	 s1 	 1.48
s2 	 1.78 	 s2 	 1.75
s1 	 1.94 	 s1 	 1.9500000000000002
s2 	 2.2 	 s2 	 2.2
s1 	 2.64 	 s1 	 2.63
s2 	 2.93 	 s2 	 2.92
s1 	 3.29 	 s1 	 3.27
s2 	 3.59 	 s2 	 3.58
s1 	 4.03 	 s1 	 4.04
s2 	 4.33 	 s2 	 4.34
s1 	 4.8 	 s1 	 4.8100000000000005
s2 	 5.11 	 s2 	 5.11
s1 	 5.76 	 s1 	 5.7700000000000005
s2 	 6.07 	 s2 	 6.07
s1 	 6.53 	 s1 	 6.53
s2 	 6.85 	 s2 	 6.84
s1 	 7.19 	 s1 	 7.2
s2 	 7.51 	 s2 	 7.49
s1 	 7.95 	 s1 	 7.95
s2 	 8.27 	 s2 	 8.26
s1 	 8.61 	 s1 	 8.6
s2 	 8.93 	 s2 	 8.91
s1 	 9.47 	 s1 	 9.48
s2 	 9.78 	 s2 	 9.78
s1 	 10.18 	 s1 	 10.19
s2 	 10.5 	 s2 	 10.49
s1 	 10.85 	 s1 	 10.85
s2 	 11.18 	 s2 	 11.16
s1 	 11.57 	 s1 	 11.6
s2 	 11.89 	 s2 	 11.89
s1 	 12.24 	 s1 	 12.25
s2 	 12.56 	 s2 	 12.56
s1 	 13.01 	 s1 	 13
s2 	 13.33 	 s2 	 13.3
s1 	 13.45 	 s1 	 13.48
s2 	 13.71 	 s2 	 13.7
s1 	 14.12 	 s1 	 14.11
s2 	 14.41 	 s2 	 14.41
s1 	 14.53 	 s1 	 14.56
s2 	 14.77 	 s2 	 14.78
s1 	 15.23 	 s1 	 15.25
s2 	 15.53 	 s2 	 15.55
s1 	 16.04 	 s1 	 16.05
s2 	 16.29 	 s2 	 16.299999999999997
s1 	 16.69 	 s1 	 16.68
s2 	 16.97 	 s2 	 16.97
s1 	 17.15 	 s1 	 17.159999999999997
s2 	 17.39 	 s2 	 17.389999999999997
s1 	 17.54 	 s1 	 17.549999999999997
s2 	 17.77 	 s2 	 17.779999999999998
s1 	 17.94 	 s1 	 17.95
s2 	 18.18 	 s2 	 18.189999999999998
s1 	 18.33 	 s1 	 18.34
s2 	 18.55 	 s2 	 18.56
s1 	 18.71 	 s1 	 18.729999999999997
s2 	 18.94 	 s2 	 18.95
s1 	 19.11 	 s1 	 19.11
s2 	 19.33 	 s2 	 19.349999999999998
s1 	 19.51 	 s1 	 19.52
s2 	 19.73 	 s2 	 19.75
s1 	 20.17 	 s1 	 20.24
s2 	 20.45 	 s2 	 20.459999999999997
s2 	 1.27 	 s2 	 1.27
s1 	 1.89 	 s1 	 1.86
s2 	 2.21 	 s2 	 2.21
s1 	 2.83 	 s1 	 2.8
s2 	 3.14 	 s2 	 3.13
s1 	 3.79 	 s1 	 3.79
s2 	 4.11 	 s2 	 4.1
s1 	 4.75 	 s1 	 4.699999999999999
s2 	 5.05 	 s2 	 5.029999999999999
s1 	 5.64 	 s1 	 5.619999999999999
s2 	 5.96 	 s2 	 5.949999999999999
s1 	 6.55 	 s1 	 6.52
s2 	 6.89 	 s2 	 6.869999999999999
s1 	 7.5 	 s1 	 7.470000000000001
s2 	 7.84 	 s2 	 7.82
s1 	 8.39 	 s1 	 8.37
s2 	 8.71 	 s2 	 8.709999999999999
s1 	 9.29 	 s1 	 9.25
s2 	 9.6 	 s2 	 9.59
s1 	 10.2 	 s1 	 10.16
s2 	 10.51 	 s2 	 10.51
s1 	 11.09 	 s1 	 11.07
s2 	 11.41 	 s2 	 11.41
s1 	 11.99 	 s1 	 11.969999999999999
s2 	 12.32 	 s2 	 12.299999999999999
s1 	 12.91 	 s1 	 12.879999999999999
s2 	 13.23 	 s2 	 13.219999999999999
s1 	 13.83 	 s1 	 13.809999999999999
s2 	 14.15 	 s2 	 14.139999999999999
s1 	 14.73 	 s1 	 14.7
s2 	 15.03 	 s2 	 15.03
s1 	 15.64 	 s1 	 15.62
s2 	 15.97 	 s2 	 15.959999999999999
s1 	 16.62 	 s1 	 16.58
s2 	 16.93 	 s2 	 16.919999999999998
s1 	 17.51 	 s1 	 17.48
s2 	 17.83 	 s2 	 17.81
s1 	 18.41 	 s1 	 18.39
s2 	 18.73 	 s2 	 18.72
s1 	 19.35 	 s1 	 19.31
s2 	 19.67 	 s2 	 19.65
s1 	 20.23 	 s1 	 20.23
s2 	 20.56 	 s2 	 20.56
s1 	 0.39 	 s1 	 0.39
s2 	 0.59 	 s2 	 0.7
s1 	 1.05 	 s1 	 1.07
s2 	 1.31 	 s2 	 1.35
s1 	 1.83 	 s1 	 1.84
s2 	 2.07 	 s2 	 2.13
s1 	 2.51 	 s1 	 2.5300000000000002
s2 	 2.71 	 s2 	 2.8000000000000003
s1 	 3.21 	 s1 	 3.21
s2 	 3.38 	 s2 	 3.5100000000000002
s1 	 3.79 	 s1 	 3.8000000000000003
s2 	 4.05 	 s2 	 4.08
s1 	 4.49 	 s1 	 4.5
s2 	 4.7 	 s2 	 4.779999999999999
s1 	 5.06 	 s1 	 5.069999999999999
s2 	 5.25 	 s2 	 5.34
s1 	 5.51 	 s1 	 5.529999999999999
s2 	 5.78 	 s2 	 5.79
s1 	 6.28 	 s1 	 6.29
s2 	 6.55 	 s2 	 6.56
s1 	 7.07 	 s1 	 7.09
s2 	 7.3 	 s2 	 7.369999999999999
s1 	 7.67 	 s1 	 7.68
s2 	 7.91 	 s2 	 7.96
s1 	 8.13 	 s1 	 8.15
s2 	 8.41 	 s2 	 8.4
s1 	 8.9 	 s1 	 8.91
s2 	 9.15 	 s2 	 9.18
s1 	 9.47 	 s1 	 9.49
s2 	 9.65 	 s2 	 9.78
s1 	 10.13 	 s1 	 10.139999999999999
s2 	 10.39 	 s2 	 10.42
s1 	 10.98 	 s1 	 10.99
s2 	 11.22 	 s2 	 11.26
s1 	 11.61 	 s1 	 11.62
s2 	 11.84 	 s2 	 11.9
s1 	 12.21 	 s1 	 12.23
s2 	 12.46 	 s2 	 12.51
s1 	 13.05 	 s1 	 13.06
s2 	 13.24 	 s2 	 13.33
s1 	 13.63 	 s1 	 13.66
s2 	 13.84 	 s2 	 13.95
s1 	 14.24 	 s1 	 14.25
s2 	 14.44 	 s2 	 14.549999999999999
s1 	 15.02 	 s1 	 15.03
s2 	 15.23 	 s2 	 15.32
s1 	 15.69 	 s1 	 15.69
s2 	 15.92 	 s2 	 15.98
s1 	 16.37 	 s1 	 16.39
s2 	 16.6 	 s2 	 16.67
s1 	 17.07 	 s1 	 17.09
s2 	 17.27 	 s2 	 17.37
s1 	 17.78 	 s1 	 17.810000000000002
s2 	 17.97 	 s2 	 18.080000000000002
s1 	 18.26 	 s1 	 18.290000000000003
s2 	 18.44 	 s2 	 18.55
s1 	 18.77 	 s1 	 18.8
s2 	 18.95 	 s2 	 19.05
s1 	 19.22 	 s1 	 19.25
s2 	 19.41 	 s2 	 19.490000000000002
s1 	 19.91 	 s1 	 19.91
s2 	 20.13 	 s2 	 20.17
s2 	 20.81 	 s2 	 20.81
